"id","What is your native language?","How old are you?","Which platforms do you use? [*BSD]","Which platforms do you use? [Ubuntu or Debian]","Which platforms do you use? [Red Hat or Fedora]","Which platforms do you use? [SUSE]","Which platforms do you use? [MacOS X]","Which platforms do you use? [Other Linux]","Which platforms do you use? [Solaris]","Which platforms do you use? [MS Windows]","What architectures do you use? [x86 (normal PC)]","What architectures do you use? [x86_64 (newer 64-bit system)]","What architectures do you use? [PPC]","What architectures do you use? [ARM]","What architectures do you use? [Other]","How did you hear about Zero Install?","How did you hear about Zero Install? [Other]","What operating systems / distributions do you use Zero Install with? [*BSD]","What operating systems / distributions do you use Zero Install with? [Ubuntu or Debian]","What operating systems / distributions do you use Zero Install with? [Red Hat or Fedora]","What operating systems / distributions do you use Zero Install with? [SUSE]","What operating systems / distributions do you use Zero Install with? [MacOS X]","What operating systems / distributions do you use Zero Install with? [Other Linux]","What operating systems / distributions do you use Zero Install with? [Solaris]","What operating systems / distributions do you use Zero Install with? [MS Windows]","What operating systems / distributions do you use Zero Install with? [Other]","How have you used Zero Install so far? [I've run programs using it]","How have you used Zero Install so far? [I've published software using it]","How have you used Zero Install so far? [I'm a developer of Zero Install itself]","How have you used Zero Install so far? [Other]","What are the main programs you run using Zero Install, if any?","As a user, how important are these goals to you? [I want to install without needing root access]","As a user, how important are these goals to you? [I want to install less common software that isn't in my distribution]","As a user, how important are these goals to you? [I want to install packages without giving them root access]","As a user, how important are these goals to you? [I want to install newer versions than in my distribution]","As a user, how important are these goals to you? [I want to avoid conflicts between packages]","How do you integrate Zero Install with your (desktop) environment? [KDE or GNOME integration with Zero2Desktop]","How do you integrate Zero Install with your (desktop) environment? [AddApp to create ROX launchers]","How do you integrate Zero Install with your (desktop) environment? [Drag-and-drop to the Xfce panel]","How do you integrate Zero Install with your (desktop) environment? [0alias (shell user)]","How do you integrate Zero Install with your (desktop) environment? [None; I use 0launch directly]","How do you integrate Zero Install with your (desktop) environment? [Other]","How could Zero Install integrate better with your desktop environment?","What security software do you use or want to use with Zero Install? [Plain user accounts]","What security software do you use or want to use with Zero Install? [Plash]","What security software do you use or want to use with Zero Install? [AppArmor]","What security software do you use or want to use with Zero Install? [SELinux]","What security software do you use or want to use with Zero Install? [Virtual machine]","What security software do you use or want to use with Zero Install? [Other]","Does Zero Install provide enough support for you to make trust decisions?","How do you use Zero Install's sharing abilities? [I share common libraries between programs]","How do you use Zero Install's sharing abilities? [I share downloads between multiple users]","How do you use Zero Install's sharing abilities? [I share the cache between mutliple virtual machines]","How do you use Zero Install's sharing abilities? [I share the cache between real machines]","How do you use Zero Install's sharing abilities? [I create self-contained bundles (no sharing)]","How do you use Zero Install's sharing abilities? [Other]","Which of these features do you use? [Roll-back to previous versions]","Which of these features do you use? [Automatic update notification]","Which of these features do you use? [Compile packages from source]","Which of these features do you use? [Modify packages (local feeds)]","Which of these features do you use? [Third-party feeds]","Which of these features do you use? [Built-in bug reporting]","Which features would you like to see added / improved in the future? [Mirrors if a site is down]","Which features would you like to see added / improved in the future? [Peer-to-peer downloads]","Which features would you like to see added / improved in the future? [Better uninstall]","Which features would you like to see added / improved in the future? [Display of release notes when upgrading]","Which features would you like to see added / improved in the future? [Integration with RPM]","Which features would you like to see added / improved in the future? [Other]","What is Zero Install's biggest weakness?","What is Zero Install's biggest weakness? [Other]","What do you think of the documentation?","What did you find to be the most confusing or difficult aspect of Zero Install?","Any other comments?","Are you interested in using Zero Install to distribute software?","Do you use Zero Install to distribute software? [Not yet]","Do you use Zero Install to distribute software? [I use it to distribute my own programs]","Do you use Zero Install to distribute software? [I make feeds for other people's programs]","Do you use Zero Install to distribute software? [I provide binaries for unusual architectures]","What format(s) do you use for your packages? [Tarball (.tgz, .tar.bz2)]","What format(s) do you use for your packages? [Zip archive]","What format(s) do you use for your packages? [RPM package]","What format(s) do you use for your packages? [Debian package]","What format(s) do you use for your packages? [Autopackage (.package)]","What format(s) do you use for your packages? [Other]","Why do you (want to) use Zero Install? [I want to provide a single package for all distributions]","Why do you (want to) use Zero Install? [Distributions publish old versions of my software]","Why do you (want to) use Zero Install? [Distributions won't include my software]","Why do you (want to) use Zero Install? [Distributions introduce bugs when packaging my programs]","Why do you (want to) use Zero Install? [I need quick feedback on new releases]","Why do you (want to) use Zero Install? [Distributions have incompatible library versions]","Why do you (want to) use Zero Install? [My users don't have root access]","Why do you (want to) use Zero Install? [My users don't trust me with root on their machines]","Why do you (want to) use Zero Install? [Other]","How do you find the developer documentation?","What did you find most difficult about providing software using Zero Install?","Which tools do you use to make packages? [0publish (console)]","Which tools do you use to make packages? [0publish-gui (GTK)]","Which tools do you use to make packages? [0compile]","Which tools do you use to make packages? [FeedLint]","Which tools do you use to make packages? [Other]","What improvements would you like to see in the future? [Optional dependencies]","What improvements would you like to see in the future? [Support for plug-ins (dynamic dependencies)]","What improvements would you like to see in the future? [Integration of bug reporting with your systems]","What improvements would you like to see in the future? [Integration with version control systems (easier to make new releases)]","What improvements would you like to see in the future? [Other]","Would you be interested in commercial support?","Any other comments?","Time Submitted","IP-Address"
"1","en","28","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","No","","Other","I wrote it","No","Yes","Yes","Yes","No","No","No","No","","Yes","Yes","Yes","","ROX-Filer and other ROX apps, blender, lyx","Very important","Very important","Very important","Important","Important","No","Yes","No","Yes","Yes","","Dragging to the ROX panel could add a launcher automatically.","Yes","Yes","Yes","No","Yes","","The ""unreliable hints database"" is good enough for me.","Yes","Yes","No","No","No","","I use this","I use this","I use this","I use this","Don't need this","I use this","Yes","Yes","Yes","Yes","Yes","","It's just misunderstood; more advocacy!","","","","","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","No","Yes","No","","","Creating binaries for different archs (x86_64, etc).","Yes","Yes","Yes","Yes","","Yes","Yes","No","Yes","","No","","2007-09-10 10:01:51","62.56.121.213",
"3","de","61","No","Yes","No","No","No","Yes","No","No","Yes","No","Yes","No","","ROX desktop","","No","No","No","No","No","Yes","No","No","","Yes","No","No","","","Important","Important","Important","Very important","Important","Yes","No","No","Yes","Yes","","","Yes","No","No","No","No","","The GPG fingerprint is enough. I'll check it myself.","Yes","No","No","No","No","","Don't need this","I use this","I couldn't get this work","I couldn't get this work","","I didn't know about this","No","No","No","Yes","Yes","","It needs more packages.","","Nice and well done. ","How to change the look of Rox.","","Yes","Yes","No","No","No","No","No","Yes","Yes","No","","Yes","No","No","No","Yes","Yes","No","No","","","","No","No","No","No","","No","Yes","No","No","","N/A","","2007-09-10 10:34:20","87.167.243.127",
"4","sw","30","No","Yes","No","No","No","No","No","No","Yes","No","No","No","","OSNews","","No","Yes","No","No","No","Yes","No","No","Puppy","Yes","No","No","","","Nice to have","Very important","Nice to have","Important","Important","Yes","No","No","Yes","No","","","No","No","No","No","No","","The ""unreliable hints database"" is good enough for me.","Yes","No","No","No","No","","Don't need this","I use this","I use this","","","","No","Yes","No","No","No","","It needs more packages.","","","","","No","No","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","","","","No","No","No","No","","No","No","No","No","","N/A","","2007-09-10 11:43:00","217.75.114.135",
"7","en","21","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","","ROX desktop","","No","Yes","No","No","No","No","No","No","","Yes","Yes","No","","ROX, Sonata","Very important","Important","Very important","Very important","Important","No","Yes","No","No","No","0launch in GNOME\'s automatically run programmes","","Yes","No","No","No","No","","The ""unreliable hints database"" is good enough for me.","No","No","No","No","No","","","I use this","I use this","","I use this","","No","No","No","No","No","Support for packages with seperate archives for different languages","Other","Feeds often have dependencies on things that are either not declared, or things which are unfeasable to package (i.e. libc5, for Firefox)","Very good. I\'ve used everything I\'ve wanted to with just a quick look at the documentation.","Listing dependencies of packages. i.e. I\'m not sure libc5 should be a 0install package, and Ubuntu doesn\'t have a package, but some binary distributions (i.e. Firefox) are compiled against libc5. I can imagine many packages would fail without Python, or GTK, but it somehow seems like a lot of work packaging things like that that we assume are on most systems. I certainly don\'t want to be packaging a lot of dependencies just to get one package working. We could do with a core library of dependencies being packaged, and then everybody could link to them, and perhaps they could be included in 0publish as standard dependencies. Also, it may be possible to examine the current machine to see if the dependencies are already there - i.e. check if GTK exists at a specified version, if not download the 0install package, if it is we\'re alright. If 0install is to become more widely-adopted, we need more stringent dependency-listing because more people will be using it on more systems.","In the ""Which of these features do you use?"" section, ""No answer"" corresponds to ""I do not use this feature at the moment, but that doesn\'t mean I don\'t need it, or value its presence"".","Yes","No","No","Yes","No","Yes","Yes","No","No","No","","No","No","No","No","No","No","No","No","Because I like 0install, and I support it by packaging software. Also, one day (when 0install is a little more mature), I would like to be able to install an OS, copy/paste some feeds, and have my usual environment appear.","Great. That\'s what I was referring to in the other section on documentation. I haven\'t used any end-user documentation as far as I recall. Maybe ages ago.","There are some dependencies that aren\'t already packaged, and I really don\'t feel like maintaining a package for some library I don\'t care about.","No","Yes","No","No","Crazy shell scripts that fiddle XML manually, as seen in my Firefox packages.","No","No","No","Yes","","No","""Integration with version control systems"" is very interesting. Perhaps specify a ""trunk"" (rather than stable, or testing, or whatever), and the latest from .../proj/trunk is downloaded and executed (assuming it can be without compilation).","2007-09-10 13:04:43","87.194.114.126",
"8","nl","38","No","Yes","No","No","No","No","No","No","Yes","No","No","No","","ROX desktop","","No","Yes","No","No","No","No","No","No","","Yes","No","No","","ROX","Nice to have","Nice to have","Nice to have","Don't care","Don't care","No","No","No","No","Yes","","","No","No","No","No","No","","The GPG fingerprint is enough. I'll check it myself.","Yes","No","No","No","No","","","","","","","","Yes","No","No","No","No","","It needs more packages.","","","","","No","No","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","","","","No","No","No","No","","No","No","No","No","","N/A","","2007-09-10 12:43:22","83.101.8.89",
"9","en","32","Yes","Yes","No","No","No","No","No","Yes","Yes","No","No","Yes","","ROX desktop","","No","Yes","No","No","No","No","No","No","","Yes","No","No","","","Nice to have","Nice to have","Important","Nice to have","Important","No","No","No","Yes","Yes","","MIME type handler for execution directly from web pages.","Yes","No","No","No","No","","The ""unreliable hints database"" is good enough for me.","Yes","No","No","No","No","","I didn't know about this","I use this","Don't need this","Don't need this","I use this","I didn't know about this","Yes","No","No","No","No","more portability and architecture support","It needs more packages.","","Good. Needs more overview sections describing what rather than how; it\'s obviously all written by people who already know what it does.","","No infrastructure for managing packages, building for multiple architectures, dealing with portability issues, etc.","No","No","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","","","","No","No","No","No","","No","No","No","No","","N/A","Would like a mechanism for distributing *source* and having it built on target machines, to avoid having to build and distribute binaries.","2007-09-10 13:01:52","81.187.191.218",
"10","fr","31","No","No","No","No","Yes","Yes","No","No","Yes","No","Yes","No","","ROX desktop","","No","No","No","No","No","Yes","No","No","gentoo","Yes","No","No","","rox all","Nice to have","Important","Don't care","Important","Important","No","Yes","No","No","No","","","Yes","No","No","No","No","","The GPG fingerprint is enough. I'll check it myself.","Yes","No","No","No","No","","Don't need this","I use this","Don't need this","I use this","I use this","Don't need this","Yes","No","Yes","Yes","No","","Distributions need to have it installed by default.","","","","","No","No","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","","","","No","No","No","No","","No","No","No","No","","N/A","","2007-09-10 14:00:28","77.217.42.59",
"12","fr","17","No","Yes","No","No","No","Yes","No","Yes","Yes","Yes","No","No","","ROX desktop","","No","Yes","No","No","No","No","No","No","","Yes","No","No","","Almost everything ROX-related, and some other feeds.","Very important","Very important","Very important","Very important","Very important","No","Yes","No","Yes","No","","","No","No","No","No","No","","The GPG fingerprint is enough. I'll check it myself.","No","No","No","No","No","","I use this","I use this","Don't need this","Don't need this","I use this","I didn't know about this","Yes","Yes","Yes","Yes","No","","It's just misunderstood; more advocacy!","","Didn\'t read it, it was almost as intuitive as possible.","","To the question ""What is Zero Install\'s biggest weakness?"", I want to add that more packages would be nice.","No","Yes","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","","","","No","No","No","No","","No","No","No","No","","N/A","I hope to see in a near future an entire distribution built onto the 0install platform!","2007-09-10 17:35:02","74.13.160.127",
"13","en","20","No","Yes","No","No","No","Yes","No","Yes","Yes","No","No","No","","ROX desktop","","No","Yes","No","No","No","No","No","No","","No","Yes","No","","ROX-Filer","Important","Very important","Important","Very important","Very important","No","No","No","Yes","No","","It would be nice to be able to drag or copy+pase a feed from the web right on to one\'s desktop / panel / filer and have a launcher/.desktop file/ or whatever appear without any extra dialogs or applications to deal with.","Yes","No","No","No","No","Don\'t know enough about these","I want some kind of peer-to-peer recommendation service.","Yes","No","No","No","No","","","","","","","I didn't know about this","Yes","Yes","Yes","Yes","No","","It needs more packages.","","I found the website helpful and well designed.","Wanting to go in an app\'s cache folder for whatever reason, and having to randomly try hex-string-named folders till I find the right one. I would like them to be called ""PackageName - VersionNumber"" etc. with the hexadecimal hash string stored in a file inside each directory.

Something like this:
implementations/ROX-Filer 1.1/2A32BDF834C.hash
And if someone installed a bunch of different packages with the same name and version, there could be a naming scheme like
ROX-Filer 1.1 (1)/2A32BDF834C.hash
ROX-Filer 1.1 (2)/325986BD6F3.hash
ROX-Filer 1.1 (3)/235B5DCD602.hash
Just an idea.","Great concept! I can\'t wait until distributions get rid of the creativity stifling easy-to-break centralized package management model and adopt zeroinstall\'s (at least for everything but the core of the OS)","Yes","No","No","Yes","No","Yes","No","No","No","No","","Yes","Yes","Yes","No","No","Yes","Yes","No","","google","lack of libraries already packaged","Yes","Yes","No","No","","Yes","Yes","Yes","Yes","","No","","2007-09-10 20:02:04","198.166.254.143",
"14","sv","36","Yes","No","No","No","No","No","No","No","Yes","No","No","No","","ROX desktop","","Yes","No","No","No","No","No","No","No","","Yes","No","No","","ROX-Filer, ROX-Session","Important","Important","Nice to have","Nice to have","Nice to have","No","Yes","No","No","No","","","No","No","No","No","No","","The GPG fingerprint is enough. I'll check it myself.","Yes","No","No","No","No","","I use this","I use this","I use this","I use this","I use this","I use this","No","No","Yes","Yes","No","","It needs more packages.","","It\'s good.","It\'s somewhat difficult/confusing to uninstall applications.","","Yes","Yes","No","No","No","Yes","No","No","No","No","","Yes","No","No","No","No","No","No","No","","Good.","","No","No","No","No","","No","No","No","No","","N/A","","2007-09-10 20:02:51","203.65.245.7",
